client_id,partition,total_samples,T - shirt / top,Trouser,Pullover,Dress,Coat,Sandal,Shirt,Sneaker,Bag,Ankle boot
orchestrator,central_test_set,10000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000
0,train_set,4200,392,450,419,409,412,415,404,420,429,450
0,test_set,1800,174,165,181,170,187,191,179,197,185,171
1,train_set,4200,420,415,398,450,426,405,423,426,430,407
1,test_set,1800,169,191,179,179,191,170,192,164,179,186
2,train_set,4200,407,421,443,409,407,421,433,390,460,409
2,test_set,1800,195,176,184,168,165,185,163,214,172,178
3,train_set,4200,431,421,392,435,447,405,427,411,405,426
3,test_set,1800,195,174,172,197,191,166,183,175,186,161
4,train_set,4200,421,411,396,450,445,446,434,407,383,407
4,test_set,1800,183,177,190,172,176,174,193,184,177,174
5,train_set,4200,425,395,438,417,405,440,409,419,442,410
5,test_set,1800,170,186,185,167,180,164,175,202,173,198
6,train_set,4200,424,427,426,415,409,434,418,406,406,435
6,test_set,1800,160,175,187,196,215,164,167,186,174,176
7,train_set,4200,420,432,436,392,390,428,408,417,442,435
7,test_set,1800,192,184,177,173,175,186,172,190,165,186
8,train_set,4200,449,413,427,400,391,427,396,401,447,449
8,test_set,1800,176,182,172,193,176,184,208,182,153,174
9,train_set,4200,408,414,409,435,434,400,440,432,422,406
9,test_set,1800,189,191,189,173,178,195,176,177,170,162
